
2024/03/03 (13:36:01) | ===> btop++ v.1.3.2
2024/03/03 (13:37:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:38:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:39:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:40:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:41:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:41:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:41:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:41:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
